gene_symbol	ensembl_id	transcript_type	panels	MRSD(Blood)	MRSD(Fibroblasts)	MRSD(LCL)	MRSD(Muscle)
5S_rRNA	ENSG00000263172	All GENCODE	-	-	-	-	-
7SK	ENSG00000271818	All GENCODE	-	-	-	-	-
A1BG	ENSG00000121410	MANE	-	-	-	-	-
A1BG-AS1	ENSG00000268895	All GENCODE	-	-	-	-	-
A1CF	ENSG00000148584	MANE	-	-	-	-	-
A2M	ENSG00000175899	RefSeq	-	-	357.68	-	20.4
A2M-AS1	ENSG00000245105	All GENCODE	-	-	-	-	-
A2ML1	ENSG00000166535	MANE	-	-	-	-	-
A2ML1-AS1	ENSG00000256661	All GENCODE	-	-	-	-	-
A2ML1-AS2	ENSG00000256904	All GENCODE	-	-	-	-	-
A2MP1	ENSG00000256069	All GENCODE	-	-	-	-	-
A3GALT2	ENSG00000184389	MANE	-	-	-	-	-
A4GALT	ENSG00000128274	RefSeq	-	-	31.62	235.28	114.24
A4GNT	ENSG00000118017	MANE	-	-	-	-	-
AAAS	ENSG00000094914	MANE	Congenital adrenal hypoplasia;DDG2P;Familial dysautonomia;Fetal anomalies;Hereditary ataxia;Hereditary ataxia - adult onset;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset	44.03	9.350000000000001	8.5	25.84
AACS	ENSG00000081760	MANE	-	-	55.419999999999995	25.16	224.06
AACSP1	ENSG00000250420	All GENCODE	-	-	-	-	-
AADAC	ENSG00000114771	MANE	-	-	-	-	-
AADACL2	ENSG00000197953	MANE	-	-	-	-	-
AADACL3	ENSG00000188984	MANE	-	-	-	-	-
AADACL4	ENSG00000204518	RefSeq	-	-	-	-	-
AADAT	ENSG00000109576	MANE	-	-	57.46	-	-
AAED1	ENSG00000158122	MANE	-	-	30.26	97.58	142.63
AAGAB	ENSG00000103591	RefSeq	Ichthyosis and erythrokeratoderma;Palmoplantar keratoderma and erythrokeratodermas;Palmoplantar keratodermas	154.19	17.34	19.72	30.09
AAK1	ENSG00000115977	RefSeq	-	-	-	883.66	442.17
AAMDC	ENSG00000087884	RefSeq	-	-	32.47	51.51	19.209999999999997
AAMP	ENSG00000127837	RefSeq	-	25.33	4.08	4.760000000000001	7.31
AANAT	ENSG00000129673	RefSeq	-	-	-	-	-
AAR2	ENSG00000131043	MANE	-	441.32	83.13	91.46	189.21
AARD	ENSG00000205002	MANE	-	-	-	-	-
AARS	ENSG00000090861	RefSeq	Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Genetic epilepsy syndromes;Hereditary neuropathy;Hereditary neuropathy NOT PMP22 copy number;White matter disorders - adult onset	151.64	5.44	3.57	11.899999999999999
AARS2	ENSG00000124608	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;White matter disorders - adult onset;Cardiomyopathies - including childhood onset;Inborn errors of metabolism;Inherited white matter disorders;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Primary ovarian insufficiency;Undiagnosed metabolic disorders;White matter disorders and cerebral calcification - narrow panel	-	71.23	51.68	649.4000000000001
AARSD1	ENSG00000266967	MANE	-	182.92	18.53	11.729999999999999	11.56
AASDH	ENSG00000157426	MANE	-	-	69.69999999999999	63.75	383.18
AASDHPPT	ENSG00000149313	MANE	-	170.85000000000002	11.899999999999999	9.01	34.68
AASS	ENSG00000008311	MANE	Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders	-	72.08	-	192.61
AATF	ENSG00000108270	RefSeq	-	22.1	10.03	5.78	28.56
AATK	ENSG00000181409	MANE	-	62.900000000000006	-	-	-
AATK-AS1	ENSG00000225180	All GENCODE	-	-	-	-	-
AB015752.3	ENSG00000254180	All GENCODE	-	-	-	-	-
AB019440.50	ENSG00000271201	All GENCODE	-	-	-	-	-
ABAT	ENSG00000183044	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Genetic epilepsy syndromes;Inborn errors of metabolism;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Undiagnosed metabolic disorders;Childhood onset dystonia or chorea or related movement disorder;Mitochondrial DNA maintenance disorder	-	486.71	-	-
ABC12-47043100G14.2	ENSG00000237215	All GENCODE	-	-	-	-	-
ABC7-42389800N19.1	ENSG00000261605	All GENCODE	-	172.55	242.08	94.35	520.37
ABCA1	ENSG00000165029	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Hereditary neuropathy;Hereditary neuropathy NOT PMP22 copy number;Inborn errors of metabolism;Undiagnosed metabolic disorders	-	238.51	-	1070.32
ABCA10	ENSG00000154263	RefSeq	-	-	-	-	-
ABCA11P	ENSG00000251595	All GENCODE	-	-	-	-	-
ABCA12	ENSG00000144452	MANE	Fetal anomalies;Severe Paediatric Disorders;Ichthyosis and erythrokeratoderma;Palmoplantar keratodermas;Autosomal recessive congenital ichthyosis	-	-	-	-
ABCA13	ENSG00000179869	MANE	-	-	-	-	-
ABCA17P	ENSG00000238098	All GENCODE	-	-	-	-	-
ABCA2	ENSG00000107331	MANE	-	95.03	73.94999999999999	-	135.32
ABCA3	ENSG00000167972	MANE	Severe Paediatric Disorders;Familial pulmonary fibrosis;Surfactant deficiency	-	-	-	239.53
ABCA4	ENSG00000198691	MANE	Severe Paediatric Disorders;Retinal disorders	-	-	-	-
ABCA5	ENSG00000154265	MANE	-	-	178.84	28.22	25.16
ABCA6	ENSG00000154262	MANE	-	-	168.64	-	558.79
ABCA7	ENSG00000064687	RefSeq	-	22.27	-	243.27	624.07
ABCA8	ENSG00000141338	MANE	-	-	104.21	-	417.85999999999996
ABCA9	ENSG00000154258	MANE	-	-	-	-	210.46
ABCA9-AS1	ENSG00000231749	All GENCODE	-	-	-	-	-
ABCB1	ENSG00000085563	RefSeq	-	-	-	-	-
ABCB10	ENSG00000135776	MANE	-	-	48.96	34.68	68.68
ABCB11	ENSG00000073734	RefSeq	DDG2P;Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders;Cholestasis;Neonatal cholestasis	-	-	-	-
ABCB4	ENSG00000005471	RefSeq	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders;Cholestasis;Neonatal cholestasis	-	-	552.67	-
ABCB5	ENSG00000004846	RefSeq	-	-	-	-	-
ABCB6	ENSG00000115657	MANE	Pigmentary skin disorders;Structural eye disease	-	-	-	-
ABCB7	ENSG00000131269	MANE	Ataxia and cerebellar anomalies - narrow panel;DDG2P;Hereditary ataxia;Hereditary ataxia - adult onset;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Undiagnosed metabolic disorders;Cytopenias and congenital anaemias;Iron metabolism disorders;Rare anaemia	330.31	40.97	11.729999999999999	27.540000000000003
ABCB8	ENSG00000197150	RefSeq	-	546.38	128.35	130.56	766.36
ABCB9	ENSG00000150967	MANE	-	-	272.68	-	-
