gene_symbol	ensembl_id	transcript_type	panels	MRSD(Blood)	MRSD(Fibroblasts)	MRSD(LCL)	MRSD(Muscle)
5S_rRNA	ENSG00000263172	All GENCODE	-	-	-	-	-
7SK	ENSG00000271818	All GENCODE	-	-	-	-	-
A1BG	ENSG00000121410	MANE	-	-	-	-	-
A1BG-AS1	ENSG00000268895	All GENCODE	-	-	-	-	-
A1CF	ENSG00000148584	MANE	-	-	-	-	-
A2M	ENSG00000175899	RefSeq	-	-	890.34	-	57.76
A2M-AS1	ENSG00000245105	All GENCODE	-	-	-	-	-
A2ML1	ENSG00000166535	MANE	-	-	-	-	-
A2ML1-AS1	ENSG00000256661	All GENCODE	-	-	-	-	-
A2ML1-AS2	ENSG00000256904	All GENCODE	-	-	-	-	-
A2MP1	ENSG00000256069	All GENCODE	-	-	-	-	-
A3GALT2	ENSG00000184389	MANE	-	-	-	-	-
A4GALT	ENSG00000128274	RefSeq	-	-	52.44	978.3100000000001	302.48
A4GNT	ENSG00000118017	MANE	-	-	-	-	-
AAAS	ENSG00000094914	MANE	Congenital adrenal hypoplasia;DDG2P;Familial dysautonomia;Fetal anomalies;Hereditary ataxia;Hereditary ataxia - adult onset;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset	107.73	19.38	10.450000000000001	40.28
AACS	ENSG00000081760	MANE	-	-	122.36000000000001	112.29	376.58
AACSP1	ENSG00000250420	All GENCODE	-	-	-	-	-
AADAC	ENSG00000114771	MANE	-	-	-	-	-
AADACL2	ENSG00000197953	MANE	-	-	-	-	-
AADACL3	ENSG00000188984	MANE	-	-	-	-	-
AADACL4	ENSG00000204518	RefSeq	-	-	-	-	-
AADAT	ENSG00000109576	MANE	-	-	78.47	-	-
AAED1	ENSG00000158122	MANE	-	-	52.06	329.27	302.48
AAGAB	ENSG00000103591	RefSeq	Ichthyosis and erythrokeratoderma;Palmoplantar keratoderma and erythrokeratodermas;Palmoplantar keratodermas	250.60999999999999	34.96	28.31	61.94
AAK1	ENSG00000115977	RefSeq	-	-	-	1235.19	-
AAMDC	ENSG00000087884	RefSeq	-	-	42.37	68.59	40.089999999999996
AAMP	ENSG00000127837	RefSeq	-	50.92	7.22	6.84	10.64
AANAT	ENSG00000129673	RefSeq	-	-	-	-	-
AAR2	ENSG00000131043	MANE	-	-	178.02999999999997	205.96	385.13
AARD	ENSG00000205002	MANE	-	-	-	-	-
AARS	ENSG00000090861	RefSeq	Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Genetic epilepsy syndromes;Hereditary neuropathy;Hereditary neuropathy NOT PMP22 copy number;White matter disorders - adult onset	430.92	27.36	23.37	20.71
AARS2	ENSG00000124608	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;White matter disorders - adult onset;Cardiomyopathies - including childhood onset;Inborn errors of metabolism;Inherited white matter disorders;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Primary ovarian insufficiency;Undiagnosed metabolic disorders;White matter disorders and cerebral calcification - narrow panel	-	401.66	280.82	-
AARSD1	ENSG00000266967	MANE	-	430.92	33.25	14.25	18.24
AASDH	ENSG00000157426	MANE	-	-	133.95	187.15	-
AASDHPPT	ENSG00000149313	MANE	-	369.17	16.15	15.200000000000001	74.29
AASS	ENSG00000008311	MANE	Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders	-	401.66	-	437.76
AATF	ENSG00000108270	RefSeq	-	43.13	13.489999999999998	8.55	57.56999999999999
AATK	ENSG00000181409	MANE	-	235.41000000000003	-	-	-
AATK-AS1	ENSG00000225180	All GENCODE	-	-	-	-	-
AB015752.3	ENSG00000254180	All GENCODE	-	-	-	-	-
AB019440.50	ENSG00000271201	All GENCODE	-	-	-	-	-
ABAT	ENSG00000183044	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Genetic epilepsy syndromes;Inborn errors of metabolism;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Undiagnosed metabolic disorders;Childhood onset dystonia or chorea or related movement disorder;Mitochondrial DNA maintenance disorder	-	1204.98	-	-
ABC12-47043100G14.2	ENSG00000237215	All GENCODE	-	-	-	-	-
ABC7-42389800N19.1	ENSG00000261605	All GENCODE	-	502.92999999999995	938.22	1009.09	-
ABCA1	ENSG00000165029	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Hereditary neuropathy;Hereditary neuropathy NOT PMP22 copy number;Inborn errors of metabolism;Undiagnosed metabolic disorders	-	-	-	-
ABCA10	ENSG00000154263	RefSeq	-	-	-	-	-
ABCA11P	ENSG00000251595	All GENCODE	-	-	-	-	-
ABCA12	ENSG00000144452	MANE	Fetal anomalies;Severe Paediatric Disorders;Ichthyosis and erythrokeratoderma;Palmoplantar keratodermas;Autosomal recessive congenital ichthyosis	-	-	-	-
ABCA13	ENSG00000179869	MANE	-	-	-	-	-
ABCA17P	ENSG00000238098	All GENCODE	-	-	-	-	-
ABCA2	ENSG00000107331	MANE	-	142.31	1204.98	-	362.90000000000003
ABCA3	ENSG00000167972	MANE	Severe Paediatric Disorders;Familial pulmonary fibrosis;Surfactant deficiency	-	-	-	439.84999999999997
ABCA4	ENSG00000198691	MANE	Severe Paediatric Disorders;Retinal disorders	-	-	-	-
ABCA5	ENSG00000154265	MANE	-	-	1204.98	154.47000000000003	50.160000000000004
ABCA6	ENSG00000154262	MANE	-	-	401.66	-	-
ABCA7	ENSG00000064687	RefSeq	-	48.449999999999996	-	-	934.23
ABCA8	ENSG00000141338	MANE	-	-	306.84999999999997	-	-
ABCA9	ENSG00000154258	MANE	-	-	-	-	1040.25
ABCA9-AS1	ENSG00000231749	All GENCODE	-	-	-	-	-
ABCB1	ENSG00000085563	RefSeq	-	-	-	-	-
ABCB10	ENSG00000135776	MANE	-	-	74.1	68.02	145.92
ABCB11	ENSG00000073734	RefSeq	DDG2P;Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders;Cholestasis;Neonatal cholestasis	-	-	-	-
ABCB4	ENSG00000005471	RefSeq	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders;Cholestasis;Neonatal cholestasis	-	-	1123.09	-
ABCB5	ENSG00000004846	RefSeq	-	-	-	-	-
ABCB6	ENSG00000115657	MANE	Pigmentary skin disorders;Structural eye disease	-	-	-	-
ABCB7	ENSG00000131269	MANE	Ataxia and cerebellar anomalies - narrow panel;DDG2P;Hereditary ataxia;Hereditary ataxia - adult onset;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Undiagnosed metabolic disorders;Cytopenias and congenital anaemias;Iron metabolism disorders;Rare anaemia	498.17999999999995	92.91	42.56	54.72
ABCB8	ENSG00000197150	RefSeq	-	-	224.20000000000002	409.07000000000005	-
ABCB9	ENSG00000150967	MANE	-	-	401.66	-	-
