gene_symbol	ensembl_id	transcript_type	panels	MRSD(Blood)	MRSD(Fibroblasts)	MRSD(LCL)	MRSD(Muscle)
5S_rRNA	ENSG00000263172	All GENCODE	-	-	-	-	-
7SK	ENSG00000271818	All GENCODE	-	-	-	-	-
A1BG	ENSG00000121410	MANE	-	-	-	-	-
A1BG-AS1	ENSG00000268895	All GENCODE	-	-	-	-	-
A1CF	ENSG00000148584	MANE	-	-	-	-	-
A2M	ENSG00000175899	RefSeq	-	-	273.52	-	15.6
A2M-AS1	ENSG00000245105	All GENCODE	-	-	-	-	-
A2ML1	ENSG00000166535	MANE	-	-	-	-	-
A2ML1-AS1	ENSG00000256661	All GENCODE	-	-	-	-	-
A2ML1-AS2	ENSG00000256904	All GENCODE	-	-	-	-	-
A2MP1	ENSG00000256069	All GENCODE	-	-	-	-	-
A3GALT2	ENSG00000184389	MANE	-	-	-	-	-
A4GALT	ENSG00000128274	RefSeq	-	-	24.18	179.92	87.36
A4GNT	ENSG00000118017	MANE	-	-	-	-	-
AAAS	ENSG00000094914	MANE	Congenital adrenal hypoplasia;DDG2P;Familial dysautonomia;Fetal anomalies;Hereditary ataxia;Hereditary ataxia - adult onset;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset	33.67	7.15	6.5	19.76
AACS	ENSG00000081760	MANE	-	-	42.379999999999995	19.24	171.34
AACSP1	ENSG00000250420	All GENCODE	-	-	-	-	-
AADAC	ENSG00000114771	MANE	-	-	-	-	-
AADACL2	ENSG00000197953	MANE	-	-	-	-	-
AADACL3	ENSG00000188984	MANE	-	-	-	-	-
AADACL4	ENSG00000204518	RefSeq	-	-	-	-	-
AADAT	ENSG00000109576	MANE	-	-	43.94	-	-
AAED1	ENSG00000158122	MANE	-	-	23.14	74.62	109.07000000000001
AAGAB	ENSG00000103591	RefSeq	Ichthyosis and erythrokeratoderma;Palmoplantar keratoderma and erythrokeratodermas;Palmoplantar keratodermas	117.91	13.26	15.079999999999998	23.01
AAK1	ENSG00000115977	RefSeq	-	-	-	675.74	338.13
AAMDC	ENSG00000087884	RefSeq	-	-	24.83	39.39	14.689999999999998
AAMP	ENSG00000127837	RefSeq	-	19.37	3.12	3.6400000000000006	5.59
AANAT	ENSG00000129673	RefSeq	-	-	-	-	-
AAR2	ENSG00000131043	MANE	-	337.48	63.56999999999999	69.94	144.69
AARD	ENSG00000205002	MANE	-	-	-	-	-
AARS	ENSG00000090861	RefSeq	Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Genetic epilepsy syndromes;Hereditary neuropathy;Hereditary neuropathy NOT PMP22 copy number;White matter disorders - adult onset	115.96	4.16	2.73	9.1
AARS2	ENSG00000124608	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;White matter disorders - adult onset;Cardiomyopathies - including childhood onset;Inborn errors of metabolism;Inherited white matter disorders;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Primary ovarian insufficiency;Undiagnosed metabolic disorders;White matter disorders and cerebral calcification - narrow panel	-	54.470000000000006	39.52	496.6
AARSD1	ENSG00000266967	MANE	-	139.88	14.170000000000002	8.969999999999999	8.84
AASDH	ENSG00000157426	MANE	-	-	53.3	48.75	293.02
AASDHPPT	ENSG00000149313	MANE	-	130.65	9.1	6.890000000000001	26.52
AASS	ENSG00000008311	MANE	Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders	-	55.120000000000005	-	147.29
AATF	ENSG00000108270	RefSeq	-	16.900000000000002	7.67	4.42	21.84
AATK	ENSG00000181409	MANE	-	48.1	-	-	-
AATK-AS1	ENSG00000225180	All GENCODE	-	-	-	-	-
AB015752.3	ENSG00000254180	All GENCODE	-	-	-	-	-
AB019440.50	ENSG00000271201	All GENCODE	-	-	-	-	-
ABAT	ENSG00000183044	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Genetic epilepsy syndromes;Inborn errors of metabolism;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Undiagnosed metabolic disorders;Childhood onset dystonia or chorea or related movement disorder;Mitochondrial DNA maintenance disorder	-	372.19	-	-
ABC12-47043100G14.2	ENSG00000237215	All GENCODE	-	-	-	-	-
ABC7-42389800N19.1	ENSG00000261605	All GENCODE	-	131.95000000000002	185.12	72.14999999999999	397.93
ABCA1	ENSG00000165029	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Hereditary neuropathy;Hereditary neuropathy NOT PMP22 copy number;Inborn errors of metabolism;Undiagnosed metabolic disorders	-	182.39	-	818.48
ABCA10	ENSG00000154263	RefSeq	-	-	-	-	-
ABCA11P	ENSG00000251595	All GENCODE	-	-	-	-	-
ABCA12	ENSG00000144452	MANE	Fetal anomalies;Severe Paediatric Disorders;Ichthyosis and erythrokeratoderma;Palmoplantar keratodermas;Autosomal recessive congenital ichthyosis	-	-	-	-
ABCA13	ENSG00000179869	MANE	-	-	-	-	-
ABCA17P	ENSG00000238098	All GENCODE	-	-	-	-	-
ABCA2	ENSG00000107331	MANE	-	72.67	56.55	-	103.48
ABCA3	ENSG00000167972	MANE	Severe Paediatric Disorders;Familial pulmonary fibrosis;Surfactant deficiency	-	-	-	183.17
ABCA4	ENSG00000198691	MANE	Severe Paediatric Disorders;Retinal disorders	-	-	-	-
ABCA5	ENSG00000154265	MANE	-	-	136.76	21.58	19.24
ABCA6	ENSG00000154262	MANE	-	-	128.96	-	427.30999999999995
ABCA7	ENSG00000064687	RefSeq	-	17.03	-	186.03	477.23
ABCA8	ENSG00000141338	MANE	-	-	79.69	-	319.53999999999996
ABCA9	ENSG00000154258	MANE	-	-	-	-	160.94
ABCA9-AS1	ENSG00000231749	All GENCODE	-	-	-	-	-
ABCB1	ENSG00000085563	RefSeq	-	-	-	-	-
ABCB10	ENSG00000135776	MANE	-	-	37.44	26.52	52.52
ABCB11	ENSG00000073734	RefSeq	DDG2P;Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders;Cholestasis;Neonatal cholestasis	-	-	-	-
ABCB4	ENSG00000005471	RefSeq	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders;Cholestasis;Neonatal cholestasis	-	-	422.63	-
ABCB5	ENSG00000004846	RefSeq	-	-	-	-	-
ABCB6	ENSG00000115657	MANE	Pigmentary skin disorders;Structural eye disease	-	-	-	-
ABCB7	ENSG00000131269	MANE	Ataxia and cerebellar anomalies - narrow panel;DDG2P;Hereditary ataxia;Hereditary ataxia - adult onset;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Undiagnosed metabolic disorders;Cytopenias and congenital anaemias;Iron metabolism disorders;Rare anaemia	252.59	31.330000000000002	8.969999999999999	21.060000000000002
ABCB8	ENSG00000197150	RefSeq	-	417.82	98.14999999999999	99.84	586.04
