gene_symbol	ensembl_id	transcript_type	panels	MRSD(Blood)	MRSD(Fibroblasts)	MRSD(LCL)	MRSD(Muscle)
5S_rRNA	ENSG00000263172	All GENCODE	-	-	-	-	-
7SK	ENSG00000271818	All GENCODE	-	-	-	-	-
A1BG	ENSG00000121410	MANE	-	-	-	-	-
A1BG-AS1	ENSG00000268895	All GENCODE	-	-	-	-	-
A1CF	ENSG00000148584	MANE	-	-	-	-	-
A2M	ENSG00000175899	RefSeq	-	-	140.57999999999998	-	9.120000000000001
A2M-AS1	ENSG00000245105	All GENCODE	-	-	-	-	-
A2ML1	ENSG00000166535	MANE	-	-	-	-	-
A2ML1-AS1	ENSG00000256661	All GENCODE	-	-	-	-	-
A2ML1-AS2	ENSG00000256904	All GENCODE	-	-	-	-	-
A2MP1	ENSG00000256069	All GENCODE	-	-	-	-	-
A3GALT2	ENSG00000184389	MANE	-	-	-	-	-
A4GALT	ENSG00000128274	RefSeq	-	-	8.28	154.47	47.76
A4GNT	ENSG00000118017	MANE	-	-	-	-	-
AAAS	ENSG00000094914	MANE	Congenital adrenal hypoplasia;DDG2P;Familial dysautonomia;Fetal anomalies;Hereditary ataxia;Hereditary ataxia - adult onset;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset	17.009999999999998	3.06	1.6500000000000001	6.36
AACS	ENSG00000081760	MANE	-	-	19.32	17.73	59.46
AACSP1	ENSG00000250420	All GENCODE	-	-	-	-	-
AADAC	ENSG00000114771	MANE	-	-	-	-	-
AADACL2	ENSG00000197953	MANE	-	-	-	-	-
AADACL3	ENSG00000188984	MANE	-	-	-	-	-
AADACL4	ENSG00000204518	RefSeq	-	-	-	-	-
AADAT	ENSG00000109576	MANE	-	-	12.39	-	-
AAED1	ENSG00000158122	MANE	-	-	8.22	51.989999999999995	47.76
AAGAB	ENSG00000103591	RefSeq	Ichthyosis and erythrokeratoderma;Palmoplantar keratoderma and erythrokeratodermas;Palmoplantar keratodermas	39.57	5.5200000000000005	4.47	9.78
AAK1	ENSG00000115977	RefSeq	-	-	-	195.03000000000003	-
AAMDC	ENSG00000087884	RefSeq	-	-	6.6899999999999995	10.83	6.33
AAMP	ENSG00000127837	RefSeq	-	8.040000000000001	1.1400000000000001	1.08	1.6800000000000002
AANAT	ENSG00000129673	RefSeq	-	-	-	-	-
AAR2	ENSG00000131043	MANE	-	-	28.11	32.519999999999996	60.81
AARD	ENSG00000205002	MANE	-	-	-	-	-
AARS	ENSG00000090861	RefSeq	Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Genetic epilepsy syndromes;Hereditary neuropathy;Hereditary neuropathy NOT PMP22 copy number;White matter disorders - adult onset	68.03999999999999	4.32	3.69	3.2700000000000005
AARS2	ENSG00000124608	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;White matter disorders - adult onset;Cardiomyopathies - including childhood onset;Inborn errors of metabolism;Inherited white matter disorders;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Primary ovarian insufficiency;Undiagnosed metabolic disorders;White matter disorders and cerebral calcification - narrow panel	-	63.42	44.339999999999996	-
AARSD1	ENSG00000266967	MANE	-	68.03999999999999	5.25	2.25	2.88
AASDH	ENSG00000157426	MANE	-	-	21.15	29.549999999999997	-
AASDHPPT	ENSG00000149313	MANE	-	58.29	2.55	2.4000000000000004	11.73
AASS	ENSG00000008311	MANE	Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders	-	63.42	-	69.12
AATF	ENSG00000108270	RefSeq	-	6.8100000000000005	2.13	1.35	9.09
AATK	ENSG00000181409	MANE	-	37.17	-	-	-
AATK-AS1	ENSG00000225180	All GENCODE	-	-	-	-	-
AB015752.3	ENSG00000254180	All GENCODE	-	-	-	-	-
AB019440.50	ENSG00000271201	All GENCODE	-	-	-	-	-
ABAT	ENSG00000183044	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Genetic epilepsy syndromes;Inborn errors of metabolism;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Undiagnosed metabolic disorders;Childhood onset dystonia or chorea or related movement disorder;Mitochondrial DNA maintenance disorder	-	190.26	-	-
ABC12-47043100G14.2	ENSG00000237215	All GENCODE	-	-	-	-	-
ABC7-42389800N19.1	ENSG00000261605	All GENCODE	-	79.41	148.14000000000001	159.32999999999998	-
ABCA1	ENSG00000165029	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Hereditary neuropathy;Hereditary neuropathy NOT PMP22 copy number;Inborn errors of metabolism;Undiagnosed metabolic disorders	-	-	-	-
ABCA10	ENSG00000154263	RefSeq	-	-	-	-	-
ABCA11P	ENSG00000251595	All GENCODE	-	-	-	-	-
ABCA12	ENSG00000144452	MANE	Fetal anomalies;Severe Paediatric Disorders;Ichthyosis and erythrokeratoderma;Palmoplantar keratodermas;Autosomal recessive congenital ichthyosis	-	-	-	-
ABCA13	ENSG00000179869	MANE	-	-	-	-	-
ABCA17P	ENSG00000238098	All GENCODE	-	-	-	-	-
ABCA2	ENSG00000107331	MANE	-	22.47	190.26	-	57.300000000000004
ABCA3	ENSG00000167972	MANE	Severe Paediatric Disorders;Familial pulmonary fibrosis;Surfactant deficiency	-	-	-	69.44999999999999
ABCA4	ENSG00000198691	MANE	Severe Paediatric Disorders;Retinal disorders	-	-	-	-
ABCA5	ENSG00000154265	MANE	-	-	190.26	24.39	7.92
ABCA6	ENSG00000154262	MANE	-	-	63.42	-	-
ABCA7	ENSG00000064687	RefSeq	-	7.6499999999999995	-	-	147.51
ABCA8	ENSG00000141338	MANE	-	-	48.449999999999996	-	-
ABCA9	ENSG00000154258	MANE	-	-	-	-	164.25
ABCA9-AS1	ENSG00000231749	All GENCODE	-	-	-	-	-
ABCB1	ENSG00000085563	RefSeq	-	-	-	-	-
ABCB10	ENSG00000135776	MANE	-	-	11.7	10.74	23.04
ABCB11	ENSG00000073734	RefSeq	DDG2P;Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders;Cholestasis;Neonatal cholestasis	-	-	-	-
ABCB4	ENSG00000005471	RefSeq	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders;Cholestasis;Neonatal cholestasis	-	-	177.32999999999998	-
ABCB5	ENSG00000004846	RefSeq	-	-	-	-	-
ABCB6	ENSG00000115657	MANE	Pigmentary skin disorders;Structural eye disease	-	-	-	-
ABCB7	ENSG00000131269	MANE	Ataxia and cerebellar anomalies - narrow panel;DDG2P;Hereditary ataxia;Hereditary ataxia - adult onset;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Undiagnosed metabolic disorders;Cytopenias and congenital anaemias;Iron metabolism disorders;Rare anaemia	78.66	14.669999999999998	6.720000000000001	8.64
ABCB8	ENSG00000197150	RefSeq	-	-	35.400000000000006	64.59	-
