gene_symbol	ensembl_id	transcript_type	panels	MRSD(Blood)	MRSD(Fibroblasts)	MRSD(LCL)	MRSD(Muscle)
A1BG	ENSG00000121410	MANE	-	-	-	-	-
A1BG-AS1	ENSG00000268895	All_GENCODE	-	-	455.78	212.57	-
A1CF	ENSG00000148584	MANE	-	-	-	-	-
A2M	ENSG00000175899	RefSeq	-	-	421.6	-	19.4
A2M-AS1	ENSG00000245105	All_GENCODE	-	-	-	-	-
A2ML1	ENSG00000166535	MANE	-	-	-	-	-
A2ML1-AS1	ENSG00000256661	All_GENCODE	-	-	-	-	-
A2ML1-AS2	ENSG00000256904	All_GENCODE	-	-	-	-	-
A2MP1	ENSG00000256069	All_GENCODE	-	-	-	-	-
A3GALT2	ENSG00000184389	MANE	-	-	-	-	-
A4GALT	ENSG00000128274	RefSeq	-	-	14.88	110.7	53.77
A4GNT	ENSG00000118017	MANE	-	-	-	-	-
AAAS	ENSG00000094914	MANE	Hereditary ataxia - adult onset;DDG2P;Ataxia and cerebellar anomalies - narrow panel;Hypotonic infant;Hereditary ataxia;White matter disorders - childhood onset;Intellectual disability;Congenital adrenal hypoplasia;Hereditary ataxia and cerebellar anomalies - childhood onset;Familial dysautonomia;Paediatric disorders;Fetal anomalies	90.83	16.33	7.62	28.62
AACS	ENSG00000081760	MANE	-	-	42.67	16.67	473.35
AACSP1	ENSG00000250420	All_GENCODE	-	-	-	-	-
AADAC	ENSG00000114771	MANE	-	-	-	-	-
AADACL2	ENSG00000197953	MANE	-	-	-	-	-
AADACL3	ENSG00000188984	MANE	-	-	-	-	-
AADACL4	ENSG00000204518	RefSeq	-	-	-	-	-
AADAT	ENSG00000109576	MANE	-	-	54.36	-	-
AAED1	ENSG00000158122	MANE	-	-	23.45	120.61	105.87
AAGAB	ENSG00000103591	RefSeq	Ichthyosis and erythrokeratoderma;Palmoplantar keratoderma and erythrokeratodermas;Palmoplantar keratodermas	-	-	-	-
AAK1	ENSG00000115977	RefSeq	-	-	-	-	-
AAMDC	ENSG00000087884	RefSeq	-	-	15.31	24.21	9.04
