gene_symbol	ensembl_id	transcript_type	panels	MRSD(Blood)	MRSD(Fibroblasts)	MRSD(LCL)	MRSD(Muscle)
5S_rRNA	ENSG00000263172	All GENCODE	-	-	-	-	-
7SK	ENSG00000271818	All GENCODE	-	-	-	-	-
A1BG	ENSG00000121410	MANE	-	-	-	-	-
A1BG-AS1	ENSG00000268895	All GENCODE	-	-	-	-	-
A1CF	ENSG00000148584	MANE	-	-	-	-	-
A2M	ENSG00000175899	RefSeq	-	-	336.64	-	19.2
A2M-AS1	ENSG00000245105	All GENCODE	-	-	-	-	-
A2ML1	ENSG00000166535	MANE	-	-	-	-	-
A2ML1-AS1	ENSG00000256661	All GENCODE	-	-	-	-	-
A2ML1-AS2	ENSG00000256904	All GENCODE	-	-	-	-	-
A2MP1	ENSG00000256069	All GENCODE	-	-	-	-	-
A3GALT2	ENSG00000184389	MANE	-	-	-	-	-
A4GALT	ENSG00000128274	RefSeq	-	-	29.76	221.44	107.52
A4GNT	ENSG00000118017	MANE	-	-	-	-	-
AAAS	ENSG00000094914	MANE	Congenital adrenal hypoplasia;DDG2P;Familial dysautonomia;Fetal anomalies;Hereditary ataxia;Hereditary ataxia - adult onset;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset	41.44	8.8	8.0	24.32
AACS	ENSG00000081760	MANE	-	-	52.16	23.68	210.88
AACSP1	ENSG00000250420	All GENCODE	-	-	-	-	-
AADAC	ENSG00000114771	MANE	-	-	-	-	-
AADACL2	ENSG00000197953	MANE	-	-	-	-	-
AADACL3	ENSG00000188984	MANE	-	-	-	-	-
AADACL4	ENSG00000204518	RefSeq	-	-	-	-	-
AADAT	ENSG00000109576	MANE	-	-	54.08	-	-
AAED1	ENSG00000158122	MANE	-	-	28.48	91.84	134.24
AAGAB	ENSG00000103591	RefSeq	Ichthyosis and erythrokeratoderma;Palmoplantar keratoderma and erythrokeratodermas;Palmoplantar keratodermas	145.12	16.32	18.56	28.32
AAK1	ENSG00000115977	RefSeq	-	-	-	831.68	416.16
AAMDC	ENSG00000087884	RefSeq	-	-	30.56	48.48	18.08
AAMP	ENSG00000127837	RefSeq	-	23.84	3.84	4.48	6.88
AANAT	ENSG00000129673	RefSeq	-	-	-	-	-
AAR2	ENSG00000131043	MANE	-	415.36	78.24	86.08	178.08
AARD	ENSG00000205002	MANE	-	-	-	-	-
AARS	ENSG00000090861	RefSeq	Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Genetic epilepsy syndromes;Hereditary neuropathy;Hereditary neuropathy NOT PMP22 copy number;White matter disorders - adult onset	142.72	5.12	3.36	11.2
AARS2	ENSG00000124608	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;White matter disorders - adult onset;Cardiomyopathies - including childhood onset;Inborn errors of metabolism;Inherited white matter disorders;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Primary ovarian insufficiency;Undiagnosed metabolic disorders;White matter disorders and cerebral calcification - narrow panel	-	67.04	48.64	611.2
AARSD1	ENSG00000266967	MANE	-	172.16	17.44	11.04	10.88
AASDH	ENSG00000157426	MANE	-	-	65.6	60.0	360.64
AASDHPPT	ENSG00000149313	MANE	-	160.8	11.2	8.48	32.64
AASS	ENSG00000008311	MANE	Hypotonic infant;Intellectual disability;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders	-	67.84	-	181.28
AATF	ENSG00000108270	RefSeq	-	20.8	9.44	5.44	26.88
AATK	ENSG00000181409	MANE	-	59.2	-	-	-
AATK-AS1	ENSG00000225180	All GENCODE	-	-	-	-	-
AB015752.3	ENSG00000254180	All GENCODE	-	-	-	-	-
AB019440.50	ENSG00000271201	All GENCODE	-	-	-	-	-
ABAT	ENSG00000183044	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Genetic epilepsy syndromes;Inborn errors of metabolism;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Undiagnosed metabolic disorders;Childhood onset dystonia or chorea or related movement disorder;Mitochondrial DNA maintenance disorder	-	458.08	-	-
ABC12-47043100G14.2	ENSG00000237215	All GENCODE	-	-	-	-	-
ABC7-42389800N19.1	ENSG00000261605	All GENCODE	-	162.4	227.84	88.8	489.76
ABCA1	ENSG00000165029	MANE	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Hereditary neuropathy;Hereditary neuropathy NOT PMP22 copy number;Inborn errors of metabolism;Undiagnosed metabolic disorders	-	224.48	-	1007.36
ABCA10	ENSG00000154263	RefSeq	-	-	-	-	-
ABCA11P	ENSG00000251595	All GENCODE	-	-	-	-	-
ABCA12	ENSG00000144452	MANE	Fetal anomalies;Severe Paediatric Disorders;Ichthyosis and erythrokeratoderma;Palmoplantar keratodermas;Autosomal recessive congenital ichthyosis	-	-	-	-
ABCA13	ENSG00000179869	MANE	-	-	-	-	-
ABCA17P	ENSG00000238098	All GENCODE	-	-	-	-	-
ABCA2	ENSG00000107331	MANE	-	89.44	69.6	-	127.36
ABCA3	ENSG00000167972	MANE	Severe Paediatric Disorders;Familial pulmonary fibrosis;Surfactant deficiency	-	-	-	225.44
ABCA4	ENSG00000198691	MANE	Severe Paediatric Disorders;Retinal disorders	-	-	-	-
ABCA5	ENSG00000154265	MANE	-	-	168.32	26.56	23.68
ABCA6	ENSG00000154262	MANE	-	-	158.72	-	525.92
ABCA7	ENSG00000064687	RefSeq	-	20.96	-	228.96	587.36
ABCA8	ENSG00000141338	MANE	-	-	98.08	-	393.28
ABCA9	ENSG00000154258	MANE	-	-	-	-	198.08
ABCA9-AS1	ENSG00000231749	All GENCODE	-	-	-	-	-
ABCB1	ENSG00000085563	RefSeq	-	-	-	-	-
ABCB10	ENSG00000135776	MANE	-	-	46.08	32.64	64.64
ABCB11	ENSG00000073734	RefSeq	DDG2P;Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders;Cholestasis;Neonatal cholestasis	-	-	-	-
ABCB4	ENSG00000005471	RefSeq	Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Undiagnosed metabolic disorders;Cholestasis;Neonatal cholestasis	-	-	520.16	-
ABCB5	ENSG00000004846	RefSeq	-	-	-	-	-
ABCB6	ENSG00000115657	MANE	Pigmentary skin disorders;Structural eye disease	-	-	-	-
ABCB7	ENSG00000131269	MANE	Ataxia and cerebellar anomalies - narrow panel;DDG2P;Hereditary ataxia;Hereditary ataxia - adult onset;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Paediatric disorders;Severe Paediatric Disorders;White matter disorders - childhood onset;Inborn errors of metabolism;Mitochondrial disorders;Possible mitochondrial disorder - nuclear genes;Undiagnosed metabolic disorders;Cytopenias and congenital anaemias;Iron metabolism disorders;Rare anaemia	310.88	38.56	11.04	25.92
ABCB8	ENSG00000197150	RefSeq	-	514.24	120.8	122.88	721.28
ABCB9	ENSG00000150967	MANE	-	-	256.64	-	-
ABCC1	ENSG00000103222	MANE	-	-	32.8	54.24	74.08
ABCC10	ENSG00000124574	MANE	-	265.76	59.36	108.64	277.44
